Sr No,bike_brand,model,make_year,reg_number,owner_name,date_purchased,purchase_price,date_sold,service_cost,insurance_cost,transfer_cost,Other_expenses,total_cost,sell_price,profit_akhi,profit_mussi,total_profit,profit_percentage,profit_annual,Remarks,Status
1,Yamaha,FZ,,,,22/07/2025,75000,22/04/2025,0,0,0,0,75000,86920,5960,5960,11920,7.946666667,-26.41%,,Sold
2,KTM,RC 390,,,,08/02/2025,125000,07/10/2025,0,0,0,0,125000,135000,5000,5000,10000,4,6.12%,,Sold
3,Bajaj,Dominar,,,,09/04/2025,55000,27/07/2025,0,0,0,0,55000,65000,5000,5000,10000,9.090909091,33.83%,,Sold
4,BMW,GT310,,,,09/09/2025,60000,27/08/2025,0,0,0,0,60000,70000,5000,5000,10000,8.333333333,-89.43%,,Sold
5,Yamaha,R15 V4,,,,28/08/2025,125000,15/01/2025,4000,0,0,0,129000,125000,-2000,0,-4000,-1.550387597,2.65%,,Sold
6,Harley,Street 750,,,,10/01/2025,141000,14/09/2025,0,0,0,0,141000,165000,12000,12000,24000,8.510638298,12.83%,,Sold
7,Apache,RTR,,,,10/11/2025,90000,12/05/2025,0,0,0,0,90000,90000,0,0,0,0,0.00%,,Sold
8,Benelli,502 TRK,,,,25/10/2025,325000,10/01/2025,23000,0,0,0,348000,387009,19504.5,19504.5,39009,5.604741379,-7.12%,,Sold
9,KTM,Duke 390,,,,28/10/2025,110000,10/02/2025,0,0,0,0,110000,130000,10000,10000,20000,9.090909091,-11.50%,,Sold
10,Benelli,300i,,,,11/01/2025,175000,11/03/2025,0,0,0,0,175000,220000,22500,22500,45000,12.85714286,111.33%,,Sold
11,Kawasaki,Ninja 300,2022,,,11/03/2025,230000,30/12/2025,0,0,0,0,230000,253500,11750,11750,23500,5.108695652,6.38%,,Sold
12,Yamaha,R15,,,,11/05/2025,80000,12/02/2025,0,0,0,0,80000,94000,7000,7000,14000,8.75,-29.38%,,Sold
13,KTM,Adventure 390,2020,,,11/05/2025,150000,20/02/2026,0,0,0,0,150000,186250,18125,18125,36250,12.08333333,15.73%,,Sold
14,Yamaha,R15,,,,13/11/2025,75000,12/10/2025,0,0,0,0,75000,93300,9150,9150,18300,12.2,-73.10%,,Sold
15,Yamaha,MT15,2024,,,18/11/2025,120000,12/10/2025,0,0,0,0,120000,134600,7300,7300,14600,6.083333333,-44.15%,,Sold
16,Hero,XPulse,2022,,,18/11/2025,92500,12/05/2025,0,0,0,0,92500,105234,6367,6367,12734,6.883243243,-12.00%,,Sold
